a	 a_0
hễu	h e_3 u
hệu	h e_5 u
hỉu	h i_2 u
hịu	h i_5 u
hứu	h M_4 u
hừu	h M_1 u
hửu	h M_2 u
hữu	h M_3 u
hựu	h M_5 u
hạy	h a_X_5 i 
hảy	h a_X_2 i 
hấy	h 7_X_4 i
hầy	h 7_X_1 i
hẩy	h 7_X_2 i
hẫy	h 7_X_3 i
hậy	h 7_X_5 i
hước	h M@_4 k
hược	h M@_5 k
hươi	h M@_0 i
hưới	h M@_4 i
hười	h M@_1 i
hưởi	h M@_2 i
hưỡi	h M@_3 i
hượi	h M@_5 i
hươm	h M@_0 m
hướm	h M@_4 m
hườm	h M@_1 m
hưởm	h M@_2 m
hưỡm	h M@_3 m
hượm	h M@_5 m
hươn	h M@_0 n
hướn	h M@_4 n
hườn	h M@_1 n
hưởn	h M@_2 n
hưỡn	h M@_3 n
hượn	h M@_5 n
hương	h M@_0 N
hướng	h M@_4 N
hường	h M@_1 N
hưởng	h M@_2 N
hưỡng	h M@_3 N
hượng	h M@_5 N
hướp	h M@_4 p
hượp	h M@_5 p
hướt	h M@_4 t
hượt	h M@_5 t
hươu	h M@_0 u
hướu	h M@_4 u
hườu	h M@_1 u
hưởu	h M@_2 u
hưỡu	h M@_3 u
hượu	h M@_5 u
i	 i_0
ia	 i@_0
im	 i_0 m
in	 i_0 n
inh	 i_0 N_+ 
iu	 i_0 u
iêm	 i@_0 m
iên	 i@_0 n
iêng	 i@_0 N
iêu	 i@_0 u
iếc	 i@_4 k
iệc	 i@_5 k
iếm	 i@_4 m
iềm	 i@_1 m
iểm	 i@_2 m
iễm	 i@_3 m
iệm	 i@_5 m
iến	 i@_4 n
iền	 i@_1 n
iển	 i@_2 n
iễn	 i@_3 n
iện	 i@_5 n
iếng	 i@_4 N
iềng	 i@_1 N
iểng	 i@_2 N
iễng	 i@_3 N
iệng	 i@_5 N
iếp	 i@_4 p
iệp	 i@_5 p
iết	 i@_4 t
iệt	 i@_5 t
iếu	 i@_4 u
iều	 i@_1 u
iểu	 i@_2 u
iễu	 i@_3 u
iệu	 i@_5 u
ke	k E_0
kem	k E_0 m
ken	k E_0 n
keng	k E_0 N
keo	k E_0 O
kha	x a_0
khai	x a_0 i
kham	x a_0 m
khan	x a_0 n
khang	x a_0 N
khanh	x a_0 N_+ 
khao	x a_0 O
khau	x a_X_0 u 
khay	x a_X_0 i 
khe	x E_0
khem	x E_0 m
khen	x E_0 n
kheng	x E_0 N
kheo	x E_0 O
khi	x i_0
khia	x i@_0
khim	x i_0 m
khin	x i_0 n
khinh	x i_0 N_+ 
khiu	x i_0 u
khiêm	x i@_0 m
khiên	x i@_0 n
khiêng	x i@_0 N
khiêu	x i@_0 u
khiếc	x i@_4 k
khiệc	x i@_5 k
khiếm	x i@_4 m
khiềm	x i@_1 m
khiểm	x i@_2 m
khiễm	x i@_3 m
khiệm	x i@_5 m
khiến	x i@_4 n
khiền	x i@_1 n
khiển	x i@_2 n
khiễn	x i@_3 n
khiện	x i@_5 n
khiếng	x i@_4 N
khiềng	x i@_1 N
khiểng	x i@_2 N
khiễng	x i@_3 N
khiệng	x i@_5 N
khiếp	x i@_4 p
khiệp	x i@_5 p
khiết	x i@_4 t
khiệt	x i@_5 t
khiếu	x i@_4 u
khiều	x i@_1 u
khiểu	x i@_2 u
khiễu	x i@_3 u
khiệu	x i@_5 u
kho	x O_0
khoa	x w a_0
khoai	x w a_0 i
khoam	x w a_0 m
khoan	x w a_0 n
khoang	x w a_0 N
khoanh	x w a_0 N_+ 
khoao	x w a_0 O
khoay	x w a_X_0 i 
khoe	x w E_0
khoem	x w E_0 m
khoen	x w E_0 n
khoeo	x w E_0 O
khoi	x O_0 i
khom	x O_0 m
khon	x O_0 n
khong	x O_0 Nm 
khoong	x O_0 N
khoà	x w a_1
khoài	x w a_1 i
khoàm	x w a_1 m
khoàn	x w a_1 n
khoàng	x w a_1 N
khoành	x w a_1 N_+ 
khoào	x w a_1 O
khoày	x w a_X_1 i 
khoá	x w a_4
khoác	x w a_4 k
khoách	x w a_4 k_+ 
khoái	x w a_4 i
khoám	x w a_4 m
khoán	x w a_4 n
khoáng	x w a_4 N
khoánh	x w a_4 N_+ 
khoáo	x w a_4 O
khoáp	x w a_4 p
khoát	x w a_4 t
khoáy	x w a_X_4 i 
khoã	x w a_3
khoãi	x w a_3 i
khoãm	x w a_3 m
khoãn	x w a_3 n
khoãng	x w a_3 N
khoãnh	x w a_3 N_+ 
khoão	x w a_3 O
khoãy	x w a_X_3 i 
khoè	x w E_1
khoèm	x w E_1 m
khoèn	x w E_1 n
khoèo	x w E_1 O
khoé	x w E_4
khoém	x w E_4 m
khoén	x w E_4 n
khoéo	x w E_4 O
khoét	x w E_4 t
khoòng	x O O_1 N
khoóc	x O O_4 k
khoóng	x O O_4 N
khoõng	x O O_3 N
khoạ	x w a_5
khoả	x w a_2
khoẹ	x w E_5
khoẻ	x w E_2
khoẽ	x w E_3
khoạc	x w a_5 k
khoắc	x w a_X_4 k
khoặc	x w a_X_5 k
khoọc	x O O_5 k
khoạch	x w a_5 k_+ 
khoại	x w a_5 i
khoải	x w a_2 i
khoăm	x w a_X_0 m
khoạm	x w a_5 m
khoảm	x w a_2 m
khoắm	x w a_X_4 m
khoằm	x w a_X_1 m
khoẳm	x w a_X_2 m
khoẵm	x w a_X_3 m
khoặm	x w a_X_5 m
khoẹm	x w E_5 m
khoẻm	x w E_2 m
khoẽm	x w E_3 m
khoăn	x w a_X_0 n
khoạn	x w a_5 n
khoản	x w a_2 n
khoắn	x w a_X_4 n
khoằn	x w a_X_1 n
khoẳn	x w a_X_2 n
khoẵn	x w a_X_3 n
khoặn	x w a_X_5 n
khoẹn	x w E_5 n
khoẻn	x w E_2 n
khoẽn	x w E_3 n
khoăng	x w a_X_0 N
khoạng	x w a_5 N
khoảng	x w a_2 N
khoắng	x w a_X_4 N
khoằng	x w a_X_1 N
khoẳng	x w a_X_2 N
khoẵng	x w a_X_3 N
khoặng	x w a_X_5 N
khoọng	x O O_5 N
khoỏng	x O O_2 N
khoạnh	x w a_5 N_+ 
khoảnh	x w a_2 N_+ 
khoạo	x w a_5 O
khoảo	x w a_2 O
khoẹo	x w E_5 O
khoẻo	x w E_2 O
khoẽo	x w E_3 O
khoạp	x w a_5 p
khoạt	x w a_5 t
khoắt	x w a_X_4 t
khoặt	x w a_X_5 t
khoẹt	x w E_5 t
khoạy	x w a_X_5 i 
khoảy	x w a_X_2 i 
khu	x u_0
khua	x u@_0
khui	x u_0 i
khum	x u_0 m
khun	x u_0 n
khung	x u_0 Nm 
khuy	x w i_0
khuya	x w i@_0
khuyn	x w i_0 n
khuynh	x w i_0 J
khuyu	x w i_0 u
khuyên	x w i@_0 n
khuyến	x w i@_4 n
khuyền	x w i@_1 n
khuyển	x w i@_2 n
khuyễn	x w i@_3 n
khuyện	x w i@_5 n
khuyết	x w i@_4 t
khuyệt	x w i@_5 t
khuân	x u 7_X_0 n
khuâng	x u 7_X_0 N
khuây	x u 7_X_0 i_0
khuê	x w e_0
khuênh	x w e_0 N_+ 
khuôi	x u@_0 i
khuôm	x u@_0 m
khuôn	x u@_0 n
khuông	x u@_0 N
khuý	x w i_4
khuýa	x w i@_4
khuých	x w i_4 k
khuýn	x w i_4 n
khuýnh	x w i_4 J
khuýp	x w i_4 p
khuýt	x w i_4 t
khuýu	x w i_4 u
khuơ	x u_0 7
khuế	x w e_4
khuề	x w e_1
khuể	x w e_2
khuễ	x w e_3
khuệ	x w e_5
khuớ	x u 7_4
khuờ	x u 7_1
khuở	x u 7_2
khuỡ	x u 7_3
khuợ	x u 7_5
khuỳ	x w i_1
khuỵ	x w i_5
khuỷ	x w i_2
khuỹ	x w i_3
khuỳa	x w i@_1
khuỵa	x w i@_5
khuỷa	x w i@_2
khuỹa	x w i@_3
khuốc	x u@_4 k
khuộc	x u@_5 k
khuếch	x w e_4 k_+ 
khuệch	x w e_5 k_+ 
khuỵch	x w i_5 k
khuối	x u@_4 i
khuồi	x u@_1 i
khuổi	x u@_2 i
khuỗi	x u@_3 i
khuội	x u@_5 i
khuốm	x u@_4 m
khuồm	x u@_1 m
khuổm	x u@_2 m
khuỗm	x u@_3 m
khuộm	x u@_5 m
khuấn	x u 7_X_4 n
khuần	x u 7_X_1 n
khuẩn	x u 7_X_2 n
khuẫn	x u 7_X_3 n
khuận	x u 7_X_5 n
khuốn	x u@_4 n
khuồn	x u@_1 n
khuổn	x u@_2 n
khuỗn	x u@_3 n
khuộn	x u@_5 n
khuỳn	x w i_1 n
khuỵn	x w i_5 n
khuỷn	x w i_2 n
khuỹn	x w i_3 n
khuấng	x u 7_X_4 N
khuầng	x u 7_X_1 N
khuẩng	x u 7_X_2 N
khuẫng	x u 7_X_3 N
khuậng	x u 7_X_5 N
khuống	x u@_4 N
khuồng	x u@_1 N
khuổng	x u@_2 N
khuỗng	x u@_3 N
khuộng	x u@_5 N
khuếnh	x w e_4 N_+ 
khuềnh	x w e_1 N_+ 
khuểnh	x w e_2 N_+ 
khuễnh	x w e_3 N_+ 
khuệnh	x w e_5 N_+ 
khuỳnh	x w i_1 J
khuỵnh	x w i_5 J
khuỷnh	x w i_2 J
khuỹnh	x w i_3 J
khuốp	x u@_4 p
khuộp	x u@_5 p
khuỵp	x w i_5 p
khuất	x u 7_X_4 t
khuật	x u 7_X_5 t
khuốt	x u@_4 t
khuột	x u@_5 t
khuỵt	x w i_5 t
khuỳu	x w i_1 u
khuỵu	x w i_5 u
khuỷu	x w i_2 u
khuỹu	x w i_3 u
khuấy	x u 7_X_4 i
khuầy	x u 7_X_1 i
khuẩy	x u 7_X_2 i
khuẫy	x u 7_X_3 i
khuậy	x u 7_X_5 i
khy	x i_0
khà	x a_1
khài	x a_1 i
khàm	x a_1 m
khàn	x a_1 n
khàng	x a_1 N
khành	x a_1 N_+ 
khào	x a_1 O
khàu	x a_X_1 u 
khày	x a_X_1 i 
khá	x a_4
khác	x a_4 k
khách	x a_4 k_+ 
khái	x a_4 i
khám	x a_4 m
khán	x a_4 n
kháng	x a_4 N
khánh	x a_4 N_+ 
kháo	x a_4 O
kháp	x a_4 p
khát	x a_4 t
kháu	x a_X_4 u 
kháy	x a_X_4 i 
khâm	x 7_X_0 m
khân	x 7_X_0 n
khâng	x 7_X_0 N
khâu	x 7_X_0 u
khây	x 7_X_0 i
khã	x a_3
khãi	x a_3 i
khãm	x a_3 m
khãn	x a_3 n
khãng	x a_3 N
khãnh	x a_3 N_+ 
khão	x a_3 O
khãu	x a_X_3 u 
khãy	x a_X_3 i 
khè	x E_1
khèm	x E_1 m
khèn	x E_1 n
khèng	x E_1 N
khèo	x E_1 O
khé	x E_4
khéc	x E_4 k
khém	x E_4 m
khén	x E_4 n
khéng	x E_4 N
khéo	x E_4 O
khép	x E_4 p
khét	x E_4 t
khê	x e_0
khêm	x e_0 m
khên	x e_0 n
khênh	x e_0 N_+ 
khêu	x e_0 u
khì	x i_1
khìa	x i@_1
khìm	x i_1 m
khìn	x i_1 n
khình	x i_1 N_+ 
khìu	x i_1 u
khí	x i_4
khía	x i@_4
khích	x i_4 k_+ 
khím	x i_4 m
khín	x i_4 n
khính	x i_4 N_+ 
khíp	x i_4 p
khít	x i_4 t
khíu	x i_4 u
khò	x O_1
khòi	x O_1 i
khòm	x O_1 m
khòn	x O_1 n
khòng	x O_1 Nm 
khó	x O_4
khóc	x kp_4 kp 
khói	x O_4 i
khóm	x O_4 m
khón	x O_4 n
khóng	x O_X_4 Nm 
khóp	x O_4 p
khót	x O_4 t
khô	x o_0
khôi	x o_0 i
khôm	x o_0 m
khôn	x o_0 n
không	x o_0 Nm 
khõ	x O_3
khõi	x O_3 i
khõm	x O_3 m
khõn	x O_3 n
khõng	x O_3 Nm 
khù	x u_1
khùa	x u@_1
khùi	x u_1 i
khùm	x u_1 m
khùn	x u_1 n
khùng	x u_1 Nm 
khú	x u_4
khúa	x u@_4
khúc	x u_4 kp 
khúi	x u_4 i
khúm	x u_4 m
khún	x u_4 n
khúng	x u_4 Nm 
khúp	x u_4 p
khút	x u_4 t
khý	x i_4
khĩ	x i_3
khũ	x u_3
khơ	x 7_0
khư	x M_0
khạ	x a_5
khả	x a_2
khẹ	x E_5
khẻ	x E_2
khẽ	x E_3
khế	x e_4
khề	x e_1
khể	x e_2
khễ	x e_3
khệ	x e_5
khỉ	x i_2
khị	x i_5
khọ	x O_5
khỏ	x O_2
khố	x o_4
khồ	x o_1
khổ	x o_2
khỗ	x o_3
khộ	x o_5
khớ	x 7_4
khờ	x 7_1
khở	x 7_2
khỡ	x 7_3
khợ	x 7_5
khụ	x u_5
khủ	x u_2
khứ	x M_4
khừ	x M_1
khử	x M_2
khữ	x M_3
khự	x M_5
khỳ	x i_1
khỵ	x i_5
khỷ	x i_2
khỹ	x i_3
khĩa	x i@_3
khũa	x u@_3
khưa	x M@_0
khỉa	x i@_2
khịa	x i@_5
khụa	x u@_5
khủa	x u@_2
khứa	x M@_4
khừa	x M@_1
khửa	x M@_2
khữa	x M@_3
khựa	x M@_5
khạc	x a_5 k
khấc	x 7_X_4 k
khậc	x 7_X_5 k
khắc	x a_X_4 k
khặc	x a_X_5 k
khẹc	x E_5 k
khọc	x kp_5 kp 
khốc	x o_4 kp 
khộc	x o_5 kp 
khục	x u_5 kp 
khức	x M_4 k
khực	x M_5 k
khạch	x a_5 k_+ 
khếch	x e_4 k_+ 
khệch	x e_5 k_+ 
khịch	x i_5 k_+ 
khũi	x u_3 i
khơi	x 7_0 i
khưi	x M_0 i
khại	x a_5 i
khải	x a_2 i
khọi	x O_5 i
khỏi	x O_2 i
khối	x o_4 i
khồi	x o_1 i
khổi	x o_2 i
khỗi	x o_3 i
khội	x o_5 i
khới	x 7_4 i
khời	x 7_1 i
khởi	x 7_2 i
khỡi	x 7_3 i
khợi	x 7_5 i
khụi	x u_5 i
khủi	x u_2 i
khứi	x M_4 i
khừi	x M_1 i
khửi	x M_2 i
khữi	x M_3 i
khựi	x M_5 i
khăm	x a_X_0 m
khĩm	x i_3 m
khũm	x u_3 m
khơm	x 7_0 m
khưm	x M_0 m
khạm	x a_5 m
khảm	x a_2 m
khấm	x 7_X_4 m
khầm	x 7_X_1 m
khẩm	x 7_X_2 m
khẫm	x 7_X_3 m
khậm	x 7_X_5 m
khắm	x a_X_4 m
khằm	x a_X_1 m
khẳm	x a_X_2 m
khẵm	x a_X_3 m
khặm	x a_X_5 m
khẹm	x E_5 m
khẻm	x E_2 m
khẽm	x E_3 m
khếm	x e_4 m
khềm	x e_1 m
khểm	x e_2 m
khễm	x e_3 m
khệm	x e_5 m
khỉm	x i_2 m
khịm	x i_5 m
khọm	x O_5 m
khỏm	x O_2 m
khốm	x o_4 m
khồm	x o_1 m
khổm	x o_2 m
khỗm	x o_3 m
khộm	x o_5 m
khớm	x 7_4 m
khờm	x 7_1 m
khởm	x 7_2 m
khỡm	x 7_3 m
khợm	x 7_5 m
khụm	x u_5 m
khủm	x u_2 m
khứm	x M_4 m
khừm	x M_1 m
khửm	x M_2 m
khữm	x M_3 m
khựm	x M_5 m
khăn	x a_X_0 n
khĩn	x i_3 n
khũn	x u_3 n
khơn	x 7_0 n
khưn	x M_0 n
khạn	x a_5 n
khản	x a_2 n
khấn	x 7_X_4 n
khần	x 7_X_1 n
khẩn	x 7_X_2 n
khẫn	x 7_X_3 n
khận	x 7_X_5 n
khắn	x a_X_4 n
khằn	x a_X_1 n
khẳn	x a_X_2 n
khẵn	x a_X_3 n
khặn	x a_X_5 n
khẹn	x E_5 n
khẻn	x E_2 n
khẽn	x E_3 n
khến	x e_4 n
khền	x e_1 n
khển	x e_2 n
khễn	x e_3 n
khện	x e_5 n
khỉn	x i_2 n
khịn	x i_5 n
khọn	x O_5 n
khỏn	x O_2 n
khốn	x o_4 n
khồn	x o_1 n
khổn	x o_2 n
khỗn	x o_3 n
khộn	x o_5 n
khớn	x 7_4 n
khờn	x 7_1 n
khởn	x 7_2 n
khỡn	x 7_3 n
khợn	x 7_5 n
khụn	x u_5 n
khủn	x u_2 n
khứn	x M_4 n
khừn	x M_1 n
khửn	x M_2 n
khữn	x M_3 n
khựn	x M_5 n
khăng	x a_X_0 N
khũng	x u_3 Nm 
khưng	x M_0 N
khạng	x a_5 N
khảng	x a_2 N
khấng	x 7_X_4 N
khầng	x 7_X_1 N
khẩng	x 7_X_2 N
khẫng	x 7_X_3 N
khậng	x 7_X_5 N
khắng	x a_X_4 N
khằng	x a_X_1 N
khẳng	x a_X_2 N
khẵng	x a_X_3 N
khặng	x a_X_5 N
khẹng	x E_5 N
khẻng	x E_2 N
khẽng	x E_3 N
khọng	x O_5 Nm 
khỏng	x O_2 Nm 
khống	x o_4 Nm 
khồng	x o_1 Nm 
khổng	x o_2 Nm 
khỗng	x o_3 Nm 
khộng	x o_5 Nm 
khụng	x u_5 Nm 
khủng	x u_2 Nm 
khứng	x M_4 N
khừng	x M_1 N
khửng	x M_2 N
khững	x M_3 N
khựng	x M_5 N
khĩnh	x i_3 N_+ 
khạnh	x a_5 N_+ 
khảnh	x a_2 N_+ 
khếnh	x e_4 N_+ 
khềnh	x e_1 N_+ 
khểnh	x e_2 N_+ 
khễnh	x e_3 N_+ 
khệnh	x e_5 N_+ 
khỉnh	x i_2 N_+ 
khịnh	x i_5 N_+ 
khạo	x a_5 O
khảo	x a_2 O
khẹo	x E_5 O
khẻo	x E_2 O
khẽo	x E_3 O
khạp	x a_5 p
khấp	x 7_X_4 p
khập	x 7_X_5 p
khắp	x a_X_4 p
khặp	x a_X_5 p
khẹp	x E_5 p
khếp	x e_4 p
khệp	x e_5 p
khịp	x i_5 p
khọp	x O_5 p
khốp	x o_4 p
khộp	x o_5 p
khớp	x 7_4 p
khợp	x 7_5 p
khụp	x u_5 p
khạt	x a_5 t
khất	x 7_X_4 t
khật	x 7_X_5 t
khắt	x a_X_4 t
khặt	x a_X_5 t
khẹt	x E_5 t
khết	x e_4 t
khệt	x e_5 t
khịt	x i_5 t
khọt	x O_5 t
khốt	x o_4 t
khột	x o_5 t
khớt	x 7_4 t
khợt	x 7_5 t
khụt	x u_5 t
khứt	x M_4 t
khựt	x M_5 t
khĩu	x i_3 u
khưu	x M_0 u
khạu	x a_X_5 u 
khảu	x a_X_2 u 
khấu	x 7_X_4 u
khầu	x 7_X_1 u
khẩu	x 7_X_2 u
khẫu	x 7_X_3 u
khậu	x 7_X_5 u
khếu	x e_4 u
khều	x e_1 u
khểu	x e_2 u
khễu	x e_3 u
khệu	x e_5 u
khỉu	x i_2 u
khịu	x i_5 u
khứu	x M_4 u
khừu	x M_1 u
khửu	x M_2 u
khữu	x M_3 u
khựu	x M_5 u
khạy	x a_X_5 i 
khảy	x a_X_2 i 
khấy	x 7_X_4 i
khầy	x 7_X_1 i
khẩy	x 7_X_2 i
khẫy	x 7_X_3 i
khậy	x 7_X_5 i
khước	x M@_4 k
khược	x M@_5 k
khươi	x M@_0 i
khưới	x M@_4 i
khười	x M@_1 i
khưởi	x M@_2 i
khưỡi	x M@_3 i
khượi	x M@_5 i
khươm	x M@_0 m
khướm	x M@_4 m
khườm	x M@_1 m
khưởm	x M@_2 m
khưỡm	x M@_3 m
khượm	x M@_5 m
khươn	x M@_0 n
khướn	x M@_4 n
khườn	x M@_1 n
khưởn	x M@_2 n
khưỡn	x M@_3 n
khượn	x M@_5 n
khương	x M@_0 N
khướng	x M@_4 N
khường	x M@_1 N
khưởng	x M@_2 N
khưỡng	x M@_3 N
khượng	x M@_5 N
khướp	x M@_4 p
khượp	x M@_5 p
khướt	x M@_4 t
khượt	x M@_5 t
khươu	x M@_0 u
khướu	x M@_4 u
khườu	x M@_1 u
khưởu	x M@_2 u
khưỡu	x M@_3 u
khượu	x M@_5 u
ki	k i_0
kia	k i@_0
kim	k i_0 m
kin	k i_0 n
kinh	k i_0 N_+ 
kiu	k i_0 u
kiêm	k i@_0 m
kiên	k i@_0 n
kiêng	k i@_0 N
kiêu	k i@_0 u
kiếc	k i@_4 k
kiệc	k i@_5 k
kiếm	k i@_4 m
kiềm	k i@_1 m
kiểm	k i@_2 m
kiễm	k i@_3 m
kiệm	k i@_5 m
kiến	k i@_4 n
kiền	k i@_1 n
kiển	k i@_2 n
kiễn	k i@_3 n
kiện	k i@_5 n
kiếng	k i@_4 N
kiềng	k i@_1 N
kiểng	k i@_2 N
kiễng	k i@_3 N
kiệng	k i@_5 N
kiếp	k i@_4 p
kiệp	k i@_5 p
kiết	k i@_4 t
kiệt	k i@_5 t
kiếu	k i@_4 u
kiều	k i@_1 u
kiểu	k i@_2 u
kiễu	k i@_3 u
kiệu	k i@_5 u
ky	k i_0
kè	k E_1
kèm	k E_1 m
kèn	k E_1 n
kèng	k E_1 N
kèo	k E_1 O
ké	k E_4
kéc	k E_4 k
kém	k E_4 m
kén	k E_4 n
kéng	k E_4 N
kéo	k E_4 O
kép	k E_4 p
két	k E_4 t
kê	k e_0
kêm	k e_0 m
kên	k e_0 n
kênh	k e_0 N_+ 
kêu	k e_0 u
kì	k i_1
kìa	k i@_1
kìm	k i_1 m
kìn	k i_1 n
kình	k i_1 N_+ 
kìu	k i_1 u
kí	k i_4
kía	k i@_4
kích	k i_4 k_+ 
kím	k i_4 m
kín	k i_4 n
kính	k i_4 N_+ 
kíp	k i_4 p
kít	k i_4 t
kíu	k i_4 u
ký	k i_4
kĩ	k i_3
kẹ	k E_5
kẻ	k E_2
kẽ	k E_3
kế	k e_4
kề	k e_1
kể	k e_2
kễ	k e_3
kệ	k e_5
kỉ	k i_2
kị	k i_5
kỳ	k i_1
kỵ	k i_5
kỷ	k i_2
kỹ	k i_3
kĩa	k i@_3
kỉa	k i@_2
kịa	k i@_5
kẹc	k E_5 k
koi	k O_0 i
kếch	k e_4 k_+ 
kệch	k e_5 k_+ 
kịch	k i_5 k_+ 
kĩm	k i_3 m
kẹm	k E_5 m
kẻm	k E_2 m
kẽm	k E_3 m
kếm	k e_4 m
kềm	k e_1 m
kểm	k e_2 m
kễm	k e_3 m
kệm	k e_5 m
kỉm	k i_2 m
kịm	k i_5 m
kĩn	k i_3 n
kẹn	k E_5 n
kẻn	k E_2 n
kẽn	k E_3 n
kến	k e_4 n
kền	k e_1 n
kển	k e_2 n
kễn	k e_3 n
kện	k e_5 n
kỉn	k i_2 n
kịn	k i_5 n
kẹng	k E_5 N
kẻng	k E_2 N
kẽng	k E_3 N
kĩnh	k i_3 N_+ 
kếnh	k e_4 N_+ 
kềnh	k e_1 N_+ 
kểnh	k e_2 N_+ 
kễnh	k e_3 N_+ 
kệnh	k e_5 N_+ 
kỉnh	k i_2 N_+ 
kịnh	k i_5 N_+ 
kẹo	k E_5 O
kẻo	k E_2 O
kẽo	k E_3 O
kẹp	k E_5 p
kếp	k e_4 p
kệp	k e_5 p
kịp	k i_5 p
kẹt	k E_5 t
kết	k e_4 t
kệt	k e_5 t
kịt	k i_5 t
kĩu	k i_3 u
kếu	k e_4 u
kều	k e_1 u
kểu	k e_2 u
kễu	k e_3 u
kệu	k e_5 u
kỉu	k i_2 u
kịu	k i_5 u
la	l a_0
lai	l a_0 i
lam	l a_0 m
lan	l a_0 n
lang	l a_0 N
lanh	l a_0 N_+ 
lao	l a_0 O
lau	l a_X_0 u 
lay	l a_X_0 i 
le	l E_0
lem	l E_0 m
len	l E_0 n
leng	l E_0 N
leo	l E_0 O
li	l i_0
lia	l i@_0
lim	l i_0 m
lin	l i_0 n
linh	l i_0 N_+ 
liu	l i_0 u
liêm	l i@_0 m
liên	l i@_0 n
liêng	l i@_0 N
liêu	l i@_0 u
liếc	l i@_4 k
liệc	l i@_5 k
liếm	l i@_4 m
liềm	l i@_1 m
liểm	l i@_2 m
liễm	l i@_3 m
liệm	l i@_5 m
liến	l i@_4 n
liền	l i@_1 n
liển	l i@_2 n
liễn	l i@_3 n
liện	l i@_5 n
liếng	l i@_4 N
liềng	l i@_1 N
liểng	l i@_2 N
liễng	l i@_3 N
liệng	l i@_5 N
liếp	l i@_4 p
liệp	l i@_5 p
liết	l i@_4 t
liệt	l i@_5 t
liếu	l i@_4 u
liều	l i@_1 u
liểu	l i@_2 u
liễu	l i@_3 u
liệu	l i@_5 u
lo	l O_0
loa	l w a_0
loai	l w a_0 i
loam	l w a_0 m
loan	l w a_0 n
loang	l w a_0 N
loanh	l w a_0 N_+ 
loao	l w a_0 O
loay	l w a_X_0 i 
loe	l w E_0
loem	l w E_0 m
loen	l w E_0 n
loeo	l w E_0 O
loi	l O_0 i
lom	l O_0 m
lon	l O_0 n
long	l O_0 Nm 
loong	l O_0 N
loà	l w a_1
loài	l w a_1 i
loàm	l w a_1 m
loàn	l w a_1 n
loàng	l w a_1 N
loành	l w a_1 N_+ 
loào	l w a_1 O
loày	l w a_X_1 i 
loá	l w a_4
loác	l w a_4 k
loách	l w a_4 k_+ 
loái	l w a_4 i
loám	l w a_4 m
loán	l w a_4 n
loáng	l w a_4 N
loánh	l w a_4 N_+ 
loáo	l w a_4 O
loáp	l w a_4 p
loát	l w a_4 t
loáy	l w a_X_4 i 
loã	l w a_3
loãi	l w a_3 i
loãm	l w a_3 m
loãn	l w a_3 n
loãng	l w a_3 N
loãnh	l w a_3 N_+ 
loão	l w a_3 O
loãy	l w a_X_3 i 
loè	l w E_1
loèm	l w E_1 m
loèn	l w E_1 n
loèo	l w E_1 O
loé	l w E_4
loém	l w E_4 m
loén	l w E_4 n
loéo	l w E_4 O
loét	l w E_4 t
loòng	l O O_1 N
loóc	l O O_4 k
loóng	l O O_4 N
loõng	l O O_3 N
loạ	l w a_5
loả	l w a_2
loẹ	l w E_5
loẻ	l w E_2
loẽ	l w E_3
loạc	l w a_5 k
loắc	l w a_X_4 k
loặc	l w a_X_5 k
loọc	l O O_5 k
loạch	l w a_5 k_+ 
loại	l w a_5 i
loải	l w a_2 i
loăm	l w a_X_0 m
loạm	l w a_5 m
loảm	l w a_2 m
loắm	l w a_X_4 m
loằm	l w a_X_1 m
loẳm	l w a_X_2 m
loẵm	l w a_X_3 m
loặm	l w a_X_5 m
loẹm	l w E_5 m
loẻm	l w E_2 m
loẽm	l w E_3 m
loăn	l w a_X_0 n
loạn	l w a_5 n
loản	l w a_2 n
loắn	l w a_X_4 n
loằn	l w a_X_1 n
loẳn	l w a_X_2 n
loẵn	l w a_X_3 n
loặn	l w a_X_5 n
loẹn	l w E_5 n
loẻn	l w E_2 n
loẽn	l w E_3 n
loăng	l w a_X_0 N
loạng	l w a_5 N
loảng	l w a_2 N
loắng	l w a_X_4 N
loằng	l w a_X_1 N
loẳng	l w a_X_2 N
loẵng	l w a_X_3 N
loặng	l w a_X_5 N
loọng	l O O_5 N
loỏng	l O O_2 N
loạnh	l w a_5 N_+ 
loảnh	l w a_2 N_+ 
loạo	l w a_5 O
loảo	l w a_2 O
loẹo	l w E_5 O
loẻo	l w E_2 O
loẽo	l w E_3 O
loạp	l w a_5 p
loạt	l w a_5 t
loắt	l w a_X_4 t
loặt	l w a_X_5 t
loẹt	l w E_5 t
loạy	l w a_X_5 i 
loảy	l w a_X_2 i 
lu	l u_0
lua	l u@_0
lui	l u_0 i
lum	l u_0 m
lun	l u_0 n
lung	l u_0 Nm 
luy	l w i_0
luya	l w i@_0
luyn	l w i_0 n
luynh	l w i_0 J
luyu	l w i_0 u
luyên	l w i@_0 n
luyến	l w i@_4 n
luyền	l w i@_1 n
luyển	l w i@_2 n
luyễn	l w i@_3 n
luyện	l w i@_5 n
luyết	l w i@_4 t
luyệt	l w i@_5 t
luân	l u 7_X_0 n
luâng	l u 7_X_0 N
luây	l u 7_X_0 i_0
luê	l w e_0
luênh	l w e_0 N_+ 
luôi	l u@_0 i
luôm	l u@_0 m
luôn	l u@_0 n
luông	l u@_0 N
